id Квартиры класса люкс,Жилой комплекс,Количество комнат,Метраж,Район,Отделка,Город,Этаж,Корпус,Подъезд,Цена,Цена со скидкой,Платеж по ипотеке,Инвестиционная привлекательность,Дополнительные услуги
1,INFINITY,2,112.47 м²,Яшнабадский,Без отделки,Ташкент,5 этаж,8,1,5290900305 сум,4 920 537 284 сум если успеете приобрести до 31 августа,Ипотека 55 млн сум в месяц,Рост стоимости недвижимости в Ташкенте за 2022 год составил 24% годовых,Ремонт под ключ из высококачественных материалов от 400 000 сум
2,INFINITY,2,120.73 м²,Яшнабадский,Без отделки,Ташкент,6 этаж,8,1,5 679 253 256 сум,5 281 705 529 сум если успеете приобрести до 31 августа,Ипотека 59 млн сум в месяц,Рост стоимости недвижимости в Ташкенте за 2022 год составил 24% годовых,Ремонт под ключ из высококачественных материалов от 400 000 сум
3,INFINITY,3,125 м²,Яшнабадский,Без отделки,Ташкент,2 этаж,8,1,5 113 445 206 сум,4 755 504 042 сум если успеете приобрести до 31 августа,Ипотека 53 млн сум в месяц,Рост стоимости недвижимости в Ташкенте за 2022 год составил 24% годовых,Ремонт под ключ из высококачественных материалов от 400 000 сум
4,INFINITY,3,125 м²,Яшнабадский,Без отделки,Ташкент,3 этаж,8,1,5 113 445 206 сум,4 755 504 042 сум если успеете приобрести до 31 августа,Ипотека 53 млн сум в месяц,Рост стоимости недвижимости в Ташкенте за 2022 год составил 24% годовых,Ремонт под ключ из высококачественных материалов от 400 000 сум
5,INFINITY,2,127.94 м²,Яшнабадский,Без отделки,Ташкент,5 этаж,8,1,6 018 239 308 сум,5 596 962 557 сум если успеете приобрести до 31 августа,Ипотека 63 млн сум в месяц,Рост стоимости недвижимости в Ташкенте за 2022 год составил 24% годовых,Ремонт под ключ из высококачественных материалов от 400 000 сум
6,INFINITY,2,137.72 м²,Яшнабадский,Без отделки,Ташкент,2 этаж,8,1,"5 633 484 110 сум
",5 239 140 223 сум если успеете приобрести до 31 августа,Ипотека 59 млн сум в месяц,Рост стоимости недвижимости в Ташкенте за 2022 год составил 24% годовых,Ремонт под ключ из высококачественных материалов от 400 000 сум
7,INFINITY,3,180.84 м²,Яшнабадский,Без отделки,Ташкент,2 этаж,8,2,7 618 184 786 сум,7 084 911 851 сум если успеете приобрести до 31 августа,Ипотека 79 млн сум в месяц,Рост стоимости недвижимости в Ташкенте за 2022 год составил 24% годовых,Ремонт под ключ из высококачественных материалов от 400 000 сум
8,INFINITY,3,180.84 м²,Яшнабадский,Без отделки,Ташкент,3 этаж,8,2,7 618 184 786 сум,7 084 911 851 сум если успеете приобрести до 31 августа,Ипотека 80 млн сум в месяц,Рост стоимости недвижимости в Ташкенте за 2022 год составил 24% годовых,Ремонт под ключ из высококачественных материалов от 400 000 сум
9,INFINITY,3,185.81 м²,Яшнабадский,Без отделки,Ташкент,2 этаж,8,2,7 827 471 827 сум,7 279 548 800 сум если успеете приобрести до 31 августа,Ипотека 81 млн сум в месяц,Рост стоимости недвижимости в Ташкенте за 2022 год составил 24% годовых,Ремонт под ключ из высококачественных материалов от 400 000 сум
10,INFINITY,3,185.81 м²,Яшнабадский,Без отделки,Ташкент,3 этаж,8,,7 827 471 827 сум,7 279 548 800 сум если успеете приобрести до 31 августа,Ипотека 82 млн сум в месяц,Рост стоимости недвижимости в Ташкенте за 2022 год составил 24% годовых,Ремонт под ключ из высококачественных материалов от 400 000 сум
